"Data Source","World Development Indicators",

"Last Updated Date","2018-01-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"India","IND","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.6375013024307","28.0256058734817","30.5381441400484","33.5497496024768","36.8980296345804","40.2419881856982","43.2903261505171","46.093925102787","49.7861257217598","51.3137609729844","53.1841322490057","54.8943297244586","56.9340294282168","59.1361227287527","62.521906179021","65.1709166362289","69.356573722694","73.348906965964","79.7043442901751","84.5374796756701","92.1321743084523","99.9999988608487","107.934386248394","114.611751371927","118.109015864602","120.218194576185","124.560221426578","",
"India","IND","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","2.57271284121842","2.62790853389864","2.74368411212811","2.97288116346132","3.22711235650463","3.49497460398143","3.95878242738017","4.29987922590258","4.40373780241319","4.55097080209836","4.62206804695812","4.8681858238565","5.3958778254769","6.35794749829332","7.41765939796717","7.29536581629393","7.73176433756144","8.16762162485712","8.36856817594059","9.68478019445527","10.7993357690731","11.9686427031014","12.9376076306395","14.0441430476174","15.1568932029271","16.2472475797144","17.3503382808752","18.9687593236301","20.5303653494201","22.2624730348614","24.6375013024308","28.0256058734817","30.5381441400485","33.5497496024768","36.8980296345804","40.2419881856983","43.2903261505172","46.093925102787","49.7861257217599","51.3137609729845","53.1841322490058","54.8943297244587","56.9340294282169","59.1361227287527","62.5219061790211","65.1709166362289","69.3565737226941","73.3489069659641","79.7043442901752","84.5374796756703","92.1321743084524","99.9999988608488","107.934386248394","114.611751371927","118.109015864603","120.218194576185","124.560221426578","",
"India","IND","Inflation, GDP deflator: linked series (annual %)","NY.GDP.DEFL.KD.ZG.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.66830384859","13.7518189424375","8.96515236069942","9.8617828530019","9.98004477463053","9.06270222078184","7.57501828873922","6.47627126328854","8.01016752368007","3.06839551999309","3.64497016113484","3.21561601766069","3.71568377644182","3.86779808605023","5.72540656038336","4.2369316917863","6.42258434054048","5.75624346616716","8.66466534690176","6.06382930383238","8.98381955780955","8.53971439559803","7.93438747792959","6.18650400083453","3.05140131863688","1.78578976053852","3.61178843660062","",
"India","IND","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","2.14542765115144","4.40561673802652","8.35362388549301","8.55167694450711","8.30036942893813","13.2707065416262","8.61620472404041","2.41538357368194","3.34336434845169","1.56224348499387","5.32484105378673","10.8396026921249","17.8297156446716","16.6675157345719","-1.64868154645602","5.98185933723616","5.63722933429645","2.46028232346013","15.7280432069461","11.5083208109974","10.8275819831152","8.09586309471031","8.5528596056452","7.9232328490024","7.19378544263094","6.78940045536149","9.32789330418353","8.23251536459004","8.43680887291272","10.66830384859","13.7518189424375","8.96515236069942","9.8617828530019","9.98004477463053","9.06270222078184","7.57501828873922","6.47627126328854","8.01016752368007","3.06839551999309","3.64497016113484","3.21561601766069","3.71568377644182","3.86779808605023","5.72540656038336","4.2369316917863","6.42258434054048","5.75624346616716","8.66466534690176","6.06382930383238","8.98381955780955","8.53971439559803","7.93438747792959","6.18650400083453","3.05140131863688","1.78578976053852","3.61178843660062","",
"India","IND","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0.211281442122035","0.23073323595722","0.242067638190768","0.461858475907197","1.15486273329866","1.20031706114339","1.04267518474178","0.818438733337358","0.742623977105516","0.904011549176038","1.41208108100809","1.53482091675984","0.959783664052952","0.863028033801438","0.863612019755125","0.663303541408518","0.407327615200255","0.516623000966199","0.680267395156942","0.753043472021124","0.953913501977537","0.821449062959698","0.586248269082779","0.541924718443013","0.822445857825273","0.729345451178946","0.629001419554235","0.4871477247867","0.336967253555853","0.471296806414408","0.818368633717803","0.562661844962505","0.597765949358696","1.37247034459423","1.09780138864174","1.0816774742252","1.16977687863509","2.80987911314844","1.31032872959922","1.51282321913741","1.91505597410718","1.39726305911871","1.14560818728725","0.939666388091202","0.74311519773458","","",
"India","IND","Exports as a capacity to import (constant LCU)","NY.EXP.CAPM.KN","320762112700.801","320165900576.033","318309478679.732","345060453015.471","322589944676.541","277865507777.422","349666960270.478","366996928127.168","378513441207.983","371177835409.282","463271737247.684","513729489294.11","597349180834.895","529751002284.972","416216571869.083","446287566396.517","585323161503.789","694776814654.658","653933791112.091","672600799097.058","618208879398.947","709361879023.322","778645443548.431","960881780791.453","900610596718.707","866641391455.673","1092364655630.15","1165662597229.22","1283312216424.12","1392813414817.37","1395807953075.82","1673174135854.13","1868602842187.21","2421114824340.79","2875412878761.61","3424203912073.77","3332105335487.92","3757831789913.59","4402719697809.97","4645892516732.65","5300498353556.73","5456293456778.34","6117156141765.66","7113512715392.95","8270563831966.42","10558857992190","12742663520962.1","13495083086962.7","16312100389985.9","15289866556024.7","18699996951366.1","21439310000000","22596983202024.1","23669683919039.9","23606397767035.1","22499622719788.6","23871786543745","",
"India","IND","Adjusted net savings, excluding particulate emission damage (% of GNI)","NY.ADJ.SVNX.GN.ZS","","","","","","","","","","","","","","","","10.4799448712961","12.4225746958457","11.3914696701664","12.8859777139304","12.555901713228","8.83095637653439","12.0531466356212","11.9621354139479","10.2711375585988","11.2089164485134","11.9096526296044","12.8537947906803","12.3699398859624","13.1644132114587","13.1927617488245","13.785205999605","12.2168383037143","13.2032600118839","11.0874202139549","13.6336303541669","15.1251660607684","11.4799470681189","14.4304054765802","13.4214479299889","17.1902976642442","14.3664380120981","15.6828254356437","14.8145984289059","16.73352056848","21.8902765071214","22.5374477564404","23.5156043419665","29.3728782628243","23.1979262224966","26.6480481891425","26.3049261776933","23.2214115430242","21.7849025764509","21.341714415242","21.4454962330584","19.8327946964169","","",
"India","IND","Adjusted net savings, excluding particulate emission damage (current US$)","NY.ADJ.SVNX.CD","","","","","","","","","","","","","","","","10469991595.3208","12951527926.3948","14050922179.3634","17978258386.9214","19570130646.3057","16781466402.3283","23736141138.0624","24352156411.6527","22717085783.8553","24063413920.833","28037942413.6673","32383979133.5878","34871726434.3199","39320127600.6455","39287384849.9118","44444055550.9665","33074890676.4117","38138144674.7271","31082806450.4077","44833920747.0707","54839465838.1886","45472299935.7604","60550991508.1137","57065580737.6855","79643680496.3033","67756862589.5988","76806010258.0478","77112947742.1407","102718716009.615","156866815963.857","186681285758.237","221463377323.425","351293749447.727","273677534609.903","350659001316.107","431035150840.299","419601618017.831","393579120887.707","391432652432.837","430930090406.321","409436146830.709","","",
"India","IND","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6933755146724","9.18349025302","10.3342446584734","8.35145232591789","11.066868401784","12.7310241981976","9.22023368804146","12.2190446817695","11.2931186787201","15.1821157853084","12.3845799312475","13.7729491139844","12.9788393020358","15.0304049284653","20.3348974250097","21.1225553415575","22.210888266071","28.1408137596573","21.9546068700162","25.4204046533006","25.100877547993","22.0035103052973","20.5413842313516","20.1072859154089","20.2349530080668","18.654594055348","","",
"India","IND","Adjusted net savings, including particulate emission damage (current US$)","NY.ADJ.SVNG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34475870394.3243","24862646831.8061","29850879065.7868","23412711994.048","36393175401.8986","46159001745.6469","36521530043.006","51271966817.8324","48016307860.5557","70339653360.2808","58409765867.1404","67452467367.7742","67557454334.9567","92264140653.3841","145720891692.491","174961505502.975","209175926641.142","336558504402.749","259009474549.016","334504562792.317","411305489589.167","397594629812.599","371112972354.137","368791752431.698","406605192734.696","385112901516.227","","",
